url,rank,score,raw_score,grade,grade_reliable,coverage_note,total_findings,critical,high,medium,low,info,tests_run,modules_discovered,waf,page_is_representative,duration_seconds,findings_by_scout,ocsp_stapling
https://firmenabc.at,79661,91,91.0,A,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 2/10 scan modules completed.,6,0,0,1,2,3,2,10,,False,4.82,"{""test_04_ssl_tls"": 4, ""test_07_email_security"": 2}",false
https://premiumbonus.su,79789,81,81.0,B,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 2/10 scan modules completed.,7,0,1,0,2,4,2,10,,False,4.7,"{""test_04_ssl_tls"": 5, ""test_07_email_security"": 2}",false
https://thameswater.co.uk,79845,70,70.0,C,True,,25,0,1,1,11,12,10,10,,True,7.29,"{""test_02_frontend_libs"": 2, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 4, ""test_05_security_headers"": 11, ""test_06_info_disclosure"": 3, ""test_07_email_security"": 1, ""test_08_cors"": 1, ""test_09_sri"": 1, ""test_10_hallucinated_deps"": 1}",false
https://like4like.org,79917,26,26.0,F,True,,26,0,3,4,13,6,10,10,Cloudflare,True,6.32,"{""test_02_frontend_libs"": 2, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 4, ""test_05_security_headers"": 12, ""test_06_info_disclosure"": 2, ""test_07_email_security"": 2, ""test_08_cors"": 1, ""test_09_sri"": 1, ""test_10_hallucinated_deps"": 1}",false
https://brwsrfrm.com,79997,81,81.0,B,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 2/10 scan modules completed.,6,0,1,0,2,3,2,10,,False,4.71,"{""test_04_ssl_tls"": 4, ""test_07_email_security"": 2}",false
https://duroflexworld.com,80068,91,91.0,A,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 2/10 scan modules completed.,7,0,0,1,2,4,2,10,Cloudflare,False,4.02,"{""test_04_ssl_tls"": 4, ""test_07_email_security"": 3}",false
https://midominio.do,80127,23,23.0,F,True,,32,0,2,8,12,10,10,10,,True,15.96,"{""test_02_frontend_libs"": 1, ""test_03_cookies"": 6, ""test_04_ssl_tls"": 5, ""test_05_security_headers"": 12, ""test_06_info_disclosure"": 4, ""test_07_email_security"": 2, ""test_08_cors"": 1, ""test_09_sri"": 1}",false
https://apnconnect.com,80142,70,70.0,C,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 1/10 scan modules completed.,3,0,2,0,0,1,1,10,,False,0.29,"{""test_07_email_security"": 3}",
https://finkzeit.at,80261,26,26.0,F,True,,36,0,1,11,13,11,10,10,Cloudflare,True,8.23,"{""test_02_frontend_libs"": 6, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 5, ""test_05_security_headers"": 14, ""test_06_info_disclosure"": 3, ""test_07_email_security"": 2, ""test_08_cors"": 1, ""test_09_sri"": 3, ""test_10_hallucinated_deps"": 1}",false
https://dpanufdfdt.net,80378,70,70.0,C,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 1/10 scan modules completed.,3,0,2,0,0,1,1,10,,False,0.46,"{""test_07_email_security"": 3}",
https://wonderopolis.org,80445,11,11.0,F,True,,51,0,4,22,16,9,10,10,Cloudflare,True,5.49,"{""test_02_frontend_libs"": 1, ""test_04_ssl_tls"": 6, ""test_05_security_headers"": 16, ""test_06_info_disclosure"": 1, ""test_07_email_security"": 3, ""test_08_cors"": 1, ""test_09_sri"": 22, ""test_10_hallucinated_deps"": 1}",false
https://lovingsiren.com,80454,6,6.0,F,True,,34,2,0,7,14,11,10,10,Cloudflare,True,5.25,"{""test_02_frontend_libs"": 5, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 5, ""test_05_security_headers"": 12, ""test_06_info_disclosure"": 3, ""test_07_email_security"": 1, ""test_08_cors"": 1, ""test_09_sri"": 5, ""test_10_hallucinated_deps"": 1}",false
https://locateconference.com,80620,66,66.0,C,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 2/10 scan modules completed.,7,0,2,0,2,3,2,10,Cloudflare,False,4.45,"{""test_04_ssl_tls"": 4, ""test_07_email_security"": 3}",false
https://borussia.de,80943,0,-16.0,F,True,,48,1,2,8,14,23,10,10,,True,12.14,"{""test_02_frontend_libs"": 2, ""test_03_cookies"": 6, ""test_04_ssl_tls"": 4, ""test_05_security_headers"": 13, ""test_06_info_disclosure"": 18, ""test_07_email_security"": 2, ""test_08_cors"": 1, ""test_09_sri"": 1, ""test_10_hallucinated_deps"": 1}",false
https://mazda.mx,81042,30,30.0,F,True,,22,0,3,4,10,5,10,10,Akamai,True,8.12,"{""test_03_cookies"": 1, ""test_04_ssl_tls"": 3, ""test_05_security_headers"": 12, ""test_07_email_security"": 3, ""test_08_cors"": 1, ""test_09_sri"": 1, ""test_10_hallucinated_deps"": 1}",false
https://idahopress.com,81487,28,28.0,F,True,,70,0,2,38,18,12,10,10,Cloudflare,True,22.07,"{""test_02_frontend_libs"": 2, ""test_03_cookies"": 3, ""test_04_ssl_tls"": 4, ""test_05_security_headers"": 11, ""test_06_info_disclosure"": 7, ""test_07_email_security"": 2, ""test_08_cors"": 1, ""test_09_sri"": 39, ""test_10_hallucinated_deps"": 1}",false
https://qingting.fm,81873,9,9.0,F,True,,32,0,3,6,14,9,10,10,,True,13.26,"{""test_02_frontend_libs"": 2, ""test_03_cookies"": 6, ""test_04_ssl_tls"": 4, ""test_05_security_headers"": 14, ""test_06_info_disclosure"": 1, ""test_07_email_security"": 2, ""test_08_cors"": 1, ""test_09_sri"": 1, ""test_10_hallucinated_deps"": 1}",false
https://jrkyushu-timetable.jp,82453,85,85.0,A,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 1/10 scan modules completed.,2,0,1,0,0,1,1,10,,False,0.27,"{""test_07_email_security"": 2}",
https://pcpro.co.uk,82460,81,81.0,B,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 2/10 scan modules completed.,6,0,1,0,2,3,2,10,Imperva/Incapsula,False,7.32,"{""test_04_ssl_tls"": 4, ""test_07_email_security"": 2}",false
