rank,domain,url,status,result_file,error_type,error_message
12048,platformsh.site,https://platformsh.site,success,rank_12048_platformsh.site.json,,
12775,nordcdn.com,https://nordcdn.com,success,rank_12775_nordcdn.com.json,,
12855,maine.edu,https://maine.edu,success,rank_12855_maine.edu.json,,
13803,publicdnsservice.com,https://publicdnsservice.com,success,rank_13803_publicdnsservice.com.json,,
13821,spectator.co.uk,https://spectator.co.uk,success,rank_13821_spectator.co.uk.json,,
14004,aaronweintraubwantstobecyberpolice.com,https://aaronweintraubwantstobecyberpolice.com,success,rank_14004_aaronweintraubwantstobecyberpolice.com.json,,
14647,apsystemsema.com,https://apsystemsema.com,success,rank_14647_apsystemsema.com.json,,
14971,cprapid.com,https://cprapid.com,success,rank_14971_cprapid.com.json,,
15022,kamareels2.com,https://kamareels2.com,success,rank_15022_kamareels2.com.json,,
15055,sultantotop5.com,https://sultantotop5.com,success,rank_15055_sultantotop5.com.json,,
15428,barotem.com,https://barotem.com,success,rank_15428_barotem.com.json,,
15682,netpulse.com,https://netpulse.com,success,rank_15682_netpulse.com.json,,
16017,donutsmp.org,https://donutsmp.org,success,rank_16017_donutsmp.org.json,,
16452,film.ru,https://film.ru,success,rank_16452_film.ru.json,,
16839,kommo.com,https://kommo.com,success,rank_16839_kommo.com.json,,
17196,canva.link,https://canva.link,success,rank_17196_canva.link.json,,
18790,cybera.net,https://cybera.net,success,rank_18790_cybera.net.json,,
19038,tampermonkey.net,https://tampermonkey.net,success,rank_19038_tampermonkey.net.json,,
19089,lidl.es,https://lidl.es,success,rank_19089_lidl.es.json,,
19281,xtits.xxx,https://xtits.xxx,success,rank_19281_xtits.xxx.json,,
19437,usp-vpn.store,https://usp-vpn.store,success,rank_19437_usp-vpn.store.json,,
19681,gorgias-convert.com,https://gorgias-convert.com,success,rank_19681_gorgias-convert.com.json,,
19736,arcg.is,https://arcg.is,success,rank_19736_arcg.is.json,,
19796,flashscore.sk,https://flashscore.sk,success,rank_19796_flashscore.sk.json,,
19821,nightcafe.studio,https://nightcafe.studio,success,rank_19821_nightcafe.studio.json,,
19936,momentohq.com,https://momentohq.com,success,rank_19936_momentohq.com.json,,
20973,minds.com,https://minds.com,success,rank_20973_minds.com.json,,
21204,usercontent.one,https://usercontent.one,success,rank_21204_usercontent.one.json,,
21414,dindadisini.space,https://dindadisini.space,success,rank_21414_dindadisini.space.json,,
21462,findglocal.com,https://findglocal.com,success,rank_21462_findglocal.com.json,,
21536,staticvaultcdn.xyz,https://staticvaultcdn.xyz,success,rank_21536_staticvaultcdn.xyz.json,,
21812,fruitmail.net,https://fruitmail.net,success,rank_21812_fruitmail.net.json,,
22034,ebay.ie,https://ebay.ie,success,rank_22034_ebay.ie.json,,
22459,sass-lang.com,https://sass-lang.com,success,rank_22459_sass-lang.com.json,,
22469,tepco.co.jp,https://tepco.co.jp,success,rank_22469_tepco.co.jp.json,,
22667,nit.ro,https://nit.ro,success,rank_22667_nit.ro.json,,
22674,anycast.me,https://anycast.me,success,rank_22674_anycast.me.json,,
22740,movistar.es,https://movistar.es,success,rank_22740_movistar.es.json,,
22995,fry99.cc,https://fry99.cc,success,rank_22995_fry99.cc.json,,
23412,tadex.id,https://tadex.id,success,rank_23412_tadex.id.json,,
23434,resultadodelaloteria.com,https://resultadodelaloteria.com,success,rank_23434_resultadodelaloteria.com.json,,
23870,goodshort.com,https://goodshort.com,success,rank_23870_goodshort.com.json,,
23921,skwstat.ru,https://skwstat.ru,success,rank_23921_skwstat.ru.json,,
24037,alkame7awx6p.com,https://alkame7awx6p.com,success,rank_24037_alkame7awx6p.com.json,,
24323,farfetch.net,https://farfetch.net,success,rank_24323_farfetch.net.json,,
24617,socket.io,https://socket.io,success,rank_24617_socket.io.json,,
